meeting,extractive,abstractive
Bmr009.C,"but jose and i were just talking about the speech e energy thing , right now , that he 's not really showing any distinction , but but we discussed a couple of the possible things that he can look at . and one is that this is all in log energy and log energy is compressing the distances between things . another is that he needs to play with the different temporal sizes . he was taking everything over two hundred milliseconds and he 's going to vary that number and also look at moving windows , as we discussed before . and and the other thing is that the doing the subtracting off the mean and the variance in the and dividing it by the standard deviation in the log domain , may not be the right thing to do . it 's between the pauses for some segment . and his he 's making the constraint it has to be at least two hundred milliseconds . and then he 's measuring at the frame level and then just normalizing with that larger amount . and but one thing he was pointing out is when he looked at a bunch of examples in log domain , it is actually pretty hard to see the change . what i was suggesting to him is that actually , a pdf . but also u good first indicator is when the researcher looks at examples of the data and can not see a change in how big the signal is , when the two speaker and when he 's looking in the log domain he 's not really seeing it . and when he 's looking in straight energy he is , that 's a good place to start . there 's a good chance then given that different people do talk different amounts that there is still a lot more to be gained from gain norm normalization with some sort but we were that in addition to that there should be s related to pitch and harmonics and forth . actually , you do have some distributions here , for these cases . and they don't look very separate . separated . before we get complicated , let 's start with the most basic wh thing , which is we 're arguing that if you take energy if you look at the energy , that , when two people are speaking at the same time , usually there 'll be more energy than when one is that 's that hypothesis . is that you would just take a look at the distribution of those two things , but i had made it too complicated by suggesting early on , that you look at scatter plots let 's start off just in one , with this feature . and then we w we 're that pitch related things are going to be a really likely candidate to help . but since your intuition from looking at some of the data , is that when you looked at the regular energy , that it did usually go up , when two people were talking , that 's you should be able to come up with a measure which will match your intuition . if you generated something like that just for the energy and see , and then , a as liz says , when they g have smaller more coherent groups to look at , that would be another interesting thing later . and then that should give us some indication between those , should give us some indication of whether there 's anything to be achieved f from energy and then you can move on to the more pitch related would just look at the energy and then get into the harmonicity as a suggestion . ","The Berkely Meeting Recorder group discussed efforts by speaker mn005 to measure energy levels in cases of speaker overlap in which the time window analyzed was 200 milliseconds or greater. Preliminary results were presented showing that log domain analyses did not reveal a significant difference in mean energy levels for windows of overlapping versus non-overlapping speech. In contrast, raw energy analyses were successful in showing the two groups to be distinct. "
Bmr009.D,"are these the long term means ? but it is definitely true that we need to have the time marks , and i was assuming that will be inherited because , if you have the words and they 're roughly aligned in time via forced alignment or whatever we end up using , then this student and i would be looking at the time marks we wouldn't be able to do any work without a forced alignment anyway , somehow if once he gets going we 're gonna hafta come up with one is there any hope for actually displaying the wave form ? ",
Bmr009.E,"this is the thing i comment with you before , that we have a great variation of th situation of overlapping . this is a good idea . not consider the log energy . another parameter we c we can consider is the duration . because is possible some s some classes has type of a duration , that you have you have a backchannel , you have a overlapping zone very short that the e effect of the normalization with the mean and the variance is different that if you consider only a window compared with the n the duration of overlapping . ",
Bmr010.A,"right . this would work for , pauses and utterance boundaries and things like that . we should get it and if it 's good enough we 'll arrange windows machines to be available . no , no . praat isn't praat 's multi platform . what our decision was is that we 'll go ahead with what we have with a not very fine time scale on the overlaps . no . they can only display one , we should definitely get with them then , agree upon a format . cross correlation . and i hope that if we do a forced alignment with the close talking mike , that will be enough to recover at least some of the time information of when the overlap occurred . one thing is that i did look on sony 's for a replacement for the mikes for the head m head worn ones cuz they 're uncomfortable . it seemed to me when i was using dragon that it was really microphone placement helped an in , an enormous amount . you want it enough to the side that when you exhale through your nose , it doesn't the wind doesn't hit the mike . and then just close enough that you get good volume . it would also be interesting to have , a couple of the meetings have more than one transcriber do , cuz i 'm curious about inter annotator agreement . right . if we fed the hand segmentation to javier 's and it doesn't work , then we know something 's wrong . that 's probably worthwhile doing . ","The Berkeley Meeting Recorder group talked about the ongoing transcription effort and issues related to the Transcriber tool, which despite its limitations for capturing tight time markings for overlapping speech, will continue to remain in use. Recording equipment and procedures were discussed, with a focus on audible breathing and the need for standards in microphone wear and use. "
Bmr010.B,"anything to reduce breathing is a good thing . one more remark , concerning the sri recognizer . it is useful to transcribe and then ultimately train models for things like breath , and also laughter is very , very frequent and important to model . the thing that you is hard to deal with is whe when they speak while laughing . ","Recording equipment and procedures were discussed, with a focus on audible breathing and the need for standards in microphone wear and use. "
Bmr010.C,"what we did far was using the mixed file to detect s speech or nonspeech portions in that . and what i did far is used our old munich system , which is an ba based system with gaussian mixtures for s speech and nonspeech . and it was a system which used only one gaussian for silence and one gaussian for speech . and now i added , multi mixture possibility for speech and nonspeech . and i did some training on one dialogue , which was transcribed by we did a nons s speech nonspeech transcription . and i did some pre segmentations for jane . and i 'm not how good they are or what the transcribers say . saw that there were loud loudly speaking speakers and quietly speaking speakers . and did two mixtures , one for the loud speakers and one for the quiet speakers . it 's just our old munich , loudness based spectrum on mel scale twenty critical bands and then loudness . and four additional features , which is energy , loudness , modified loudness , and zero crossing rate . you can specify the minimum length of speech or and silence portions which you want . changing the minimum length for s for silence to have more or less , silence portions in inserted . no . w we originally we did that for our recognizer in munich we saw that w it 's not it 's not necessary . it works as with without , a lda susanne bur burger , who is at se cmu , he wa who was formally at in munich and w and is now at with cmu , she said she has something which she uses to do eight channels , trans transliterations , about , adding , another class too . ",Speaker mn014 explained his efforts to pre-segment the signal into speech and non-speech portions for facilitating transcriptions. 
Bmr010.D,"what are the different , classes to code , the overlap , you will use ? because , i have the results , of the study of different energy without the law length . the other , the last w meeting we have problem to with the parameter with the representations of parameter , because the valleys and the peaks in the signal , look like , it doesn't follow to the energy in the signal . and it was a problem , with the scale . and i change the scale and we can see the variance . and , i have prepared the pitch tracker now . and i hope the next week i will have , some results and we will show we will see , the parameter the pitch , tracking in with the program . but , what did you think about the possibility of using the javier software ? using the mark , by hand , to distinguish be to train overlapping zone and speech zone . but it 's possible with my segmentation by hand that we have information about the overlapping , ","And, finally, it was determined that speaker mn005's efforts to detect speaker overlap using energy should instead be focussed on pitch- and harmonicity-related features or be guided by a non-featural, statistical approach, i.e. via the use of Markov models. "
Bmr010.E,,
Bmr010.F,"give you an update on the transcription effort . raise the issue of microphone , procedures with reference to the cleanliness of the recordings . the we have great , p steps forward in terms of the nonspeech speech pre segmenting of the signal . it 's a big improvement . they think it 's a terrific improvement . but it saves much time the transcribers because at present , because of the limitations of th the interface we 're using , overlaps are , not being encoded by the transcribers in as complete and , detailed a way as it might be , we don't have start and end points at each point where there 's an overlap . we just have the overlaps encoded in a simple bin . @ the limits of the over of the interface are such that we were at this meeting we were entertaining how we might either expand the interface or find other tools which already do what would be useful . because what would ultimately be , ideal in my view and mean , i had the sense that it was consensus , is that , a thorough going musical score notation would be the best way to go . because you can have multiple channels , there 's a single time line , it 's very clear , flexible , and all those things . this is called praat , which means spee speech in dutch and i was just thinking that , if it were possible to bring that in this week , then when they 're encoding the overlaps it would be for them to be able to specify when the start points and end points of overlaps . th they 're making really quick progress . and , dan ellis 's hack already allows them to be able to display different waveforms to clarify overlaps and things , yes , but what is that , from the transcriber 's perspective , those two functions are separate . and dan ellis 's hack handles the , choice the ability to choose different waveforms from moment to moment . the hack to preserve the overlaps better would be one which creates different output files for each channel , which then would also serve liz 's request of having , separable , cleanly , easily separable , transcript tied to a single channel , audio . i 'm keeping the conventions as simple as possible . and dan gel and dave gelbart is interested in pursuing the aspect of using amplitude as a as a basis for the separation . cuz there is one thing that we don't have right now and that is the automatic , channel identifier . that , that would g help in terms of encoding of overlaps . the transcribers would have less , disentangling to do if that were available . types of overlap ? it i the it 's two tiered structure where the first one is whether the person who 's interrupted continues or not . and then below that there 're subcategories , that have more to do with , is it , simply backchannel or is it , someone completing someone else 's thought , or is it someone in introducing a new thought . they 're putting in curly brackets they put "" inhale "" or "" breath "" . it they and then in curly brackets they say "" laughter "" . and i also thought , y liz has this , and i do also , this interest in the types of overlaps that are involved . these people would be great choices for doing coding of that type if we wanted , ","The Berkeley Meeting Recorder group talked about the ongoing transcription effort and issues related to the Transcriber tool, which despite its limitations for capturing tight time markings for overlapping speech, will continue to remain in use. Recording equipment and procedures were discussed, with a focus on audible breathing and the need for standards in microphone wear and use. Speaker mn014 explained his efforts to pre-segment the signal into speech and non-speech portions for facilitating transcriptions. "
Bmr010.G,"is there a transformation , like principal components transformation have , folks from nist been in contact with you ? they seem to want to get clear on standards for transcription standards and forth with us . i had mentioned this a couple times before , the c the commercial devices that do , voice , active miking , look at the amp at the energy at each of the mikes . and you compare the energy here to some function of all of the mikes . by doing that , rather than setting any , absolute threshold , you actually can do pretty good , selection of who 's talking . let 's why don't we talk about microphone issues ? but that it doesn't hurt , the naturalness of the situation to try to have people wear the microphones properly , if possible , the other thing we could do , actually , is , use them for a more detailed analysis of the overlaps . but the bottom line is it 's still not , separating out very but you don't want to keep , keep knocking at it if it 's if you 're not getting any result with that . but , the other things that we talked about is , pitch related things and harmonicity related things , a completely different tack on it wou is the one that was suggested , by your colleagues in spain , which is to say , don't worry much about the , features . that is to say , use , as you 're doing with the speech , nonspeech , use some very general features . and , then , look at it more from the aspect of modeling . have a couple markov models and , try to indi try to determine , w when is th when are you in an overlap , when are you not in an overlap . and let the , statistical system determine what 's the right way to look at the data . you have , nonspeech , single person speech , and multiple person speech ? and then you have a markov model for each ? far , jose has been the has , been exploring , e largely the energy issue as with a lot of things , it is not like this , it 's not as simple as it sounds . and then there 's , is it energy ? is it log energy ? is it lpc residual energy ? is it is it , delta of those things ? should there be a long window for the normalizing factor and a short window for what you 're looking at ? and far at least has not come up with any combination that really gave you an indicator . but it may be given that you have a limited time here , it just may not be the best thing to focus on for the remaining of it . but it seems like if we just wanna get something to work , that , their suggestion of th they were suggesting going to markov models , but in addition there 's an expansion of what javier did . and one of those things , looking at the statistical component , even if the features that you give it are not ideal for it , it 's just this general filter bank ","Recording equipment and procedures were discussed, with a focus on audible breathing and the need for standards in microphone wear and use. And, finally, it was determined that speaker mn005's efforts to detect speaker overlap using energy should instead be focussed on pitch- and harmonicity-related features or be guided by a non-featural, statistical approach, i.e. via the use of Markov models. "
Bmr011.A,"and actually in addition to that , that the close talking mikes are worn in such a way as to best capture the signal . it adds this extra , vari variable for each speaker to deal with when the microphones aren't similar . but if we could actually standardize , the microphones , as much as possible that would be really helpful . it seems to me that there 's there are good political reasons for doing this , it 'd be if we can have at least , make use of the data that we 're recording as we go since it 's this is the first site that has really collected these really impromptu meetings , and just have this other information available . if we can get the investment in just for the infra infrastructure it 'd be g it 'd be good to have the recording . but it definitely in the case of microphone arrays , since if there was a community interested in this , then but i know there is interest from other places that are interested in looking at meeting data and having the video . there are a lot of words that are reduced phonetically that make sense when what the person was saying before . for the sri front end , we really need to chop things up into pieces that are f not too huge . but second of all , in general because some of these channels , some of the segments have a lot of cross talk . it 's good to get short segments if you 're gonna do recognition , especially forced alignment . we have to normalize the front end and forth , and have these small segments . we 've taken that and chopped it into pieces based always on your , cuts that you made on the mixed signal . and that every speaker has the same cuts . the problem is if we have no time marks , then for forced alignment we actually don't know where in the signal the transcriber heard that word . th but there 's going to be a real problem , even if we chop up based on speech silence these , the transcripts from i b m , we don't actually know where the words were , which segment they belonged to . wanted to , make a pitch for trying to collect more meetings . because it 'd be good if we can get a few different non internal types of meetings the other thing is that there was a number of things at the transcription side that , transcribers can do , like dialogue act tagging , disfluency tagging , things that are in the speech that are actually something we 're y working on for language modeling . but that , it would be helpful if stay in the loop somehow with , people who are doing any post processing , all i meant is just that as as this pipeline of research is going on we 're also experimenting with different asr , techniques . r right , although if they 're not talking , using the inhouse transcriptions , were k we try to find as close of start and end time of as we can to the speech from an individual speaker , because then we 're more guaranteed that the recognizer will for the forced alignment which is just to give us the time boundaries , because from those time boundaries then the plan is to compute prosodic features . and the more space you have that isn't the thing you 're trying to align the more errors we have . because of the fact that there 's enough acoustic signal there t for the recognizer to eat , as part of a word . but we probably will have to do something like that in addition . because that 'll really help us . ","The discussion was largely focused on efforts to facilitate transcriptions, including the improvement of strategies for transcribing overlapping speech, and achieving greater uniformity in the type of equipment used during recordings and the manner in which recording devices are worn by speakers. The Berkeley Meeting Recorder group discussed recording equipment and setup issues, recent developments in the transcription effort, other potential types of tagging to be assigned to transcribers, and the post-processing of waveforms. "
Bmr011.B,"the one issue was that the , lapel mike , isn't as good as you would like . and it 'd be better if we had close talking mikes for everybody . one thing i was gonna say was that , i we could get more , of the head mounted microphones why don't we just go out and get an order of i 'd just get a half dozen of these things . we should go out to our full complement of whatever we can do , but have them all be the same mike . the original reason that it was done the other way was because , it w it was an experimental thing and i don't think anybody knew whether people would rather have more variety or , more uniformity , dave gelbart and i will be , visiting with john canny who i is a cs professor , who 's interested in ar in array microphones . they 'd wanna stick an array mike here when we 're doing things but they might wanna just , you could imagine them taking the four signals from these table mikes and trying to do something with them if i 'm speaking , or if you 're speaking , or someone over there is speaking , it if you look at cross correlation functions , you end up with a if someone who was on the axis between the two is talking , then you get a big peak there . and then , it even looks different if th t if the two people on either side are talking than if one in the middle . it actually looks somewhat different , they wanted to do it think they 've instrumented a room but i don't think they haven't started recordings yet . all i know is that they 've been talking to me about a project that they 're going to start up recording people meet in meetings . and , it is related to ours . they were interested in ours . they wanted to get some uniformity with us , about the transcriptions and on . but one , difference from the audio side was that they are interested in using array mikes . the reason i didn't go for that here was because , the focus , both of my interest and of adam 's interest was in impromptu situations . we 're not recording a bunch of impromptu situations but the thing we ultimately wanted to aim at was a situation where you were talking with , one or more other people i in an p impromptu way , where you didn't actually the situation was going to be . and therefore it would not it 'd be highly unlikely that room would be outfitted with some very carefully designed array of microphones . it 's a good thing to do , but it doesn't solve the problem of how do you solve things when there 's one mike or at best two mikes in this imagined pda that we have . we 'll do some more of it . and think we could get a microphone array in here pretty easily and , have it mixed to one channel of some sort . but , e for for maximum flexibility later you really don't want to end up with just one channel that 's pointed in the direction of the p the person with the maximum energy like that . you want actually to have multiple channels being recorded that you can i 'm not much worried about disk space actually . but the real issue is that , there is no way to do a recording extended to what we have now with low skew . but if you 're d i the person who 's doing array processing you actually care about funny little times . and you actually wou would want to have a completely different set up than we have , one that would go up to thirty two channels i 'm kinda skeptical , but what we could do is if there was someone else who 's interested they could have a separate set up which they wouldn't be trying to synch with ours which might be useful for them . we can o offer the meetings , and the physical space , and the transcripts , and on . there 's this human subjects problem . once you actually have serious interest in any of these things then you actually have to put a lot of effort in . think nist or ldc , or somebody like that is much better shape to do all that . some point ago we thought that it "" boy , we 'd really have to ramp up to do that "" , and , here 's , a , collaborating institution that 's volunteered to do it . that was a contribution they could make . in terms of time , money , that they are , and we have to have a dialogue with them about it . but how do we step out the recorded meetings ? and the other one is , is there some good use that we can make of the transcribers to do other things ? right , think we talking about three level three things . one was we had s had some discussion in the past about some very high level labelings , types of overlaps , and forth that someone could do . second was , somewhat lower level just doing these more precise timings . and the third one is , just a completely wild hair brained idea that i have which is that , if , if we have time and people are able to do it , to take some subset of the data and do some very fine grained analysis of the speech . marking in some overlapping potentially overlapping fashion , the value of , ar articulatory features . ","The discussion was largely focused on efforts to facilitate transcriptions, including the improvement of strategies for transcribing overlapping speech, and achieving greater uniformity in the type of equipment used during recordings and the manner in which recording devices are worn by speakers. The Berkeley Meeting Recorder group discussed recording equipment and setup issues, recent developments in the transcription effort, other potential types of tagging to be assigned to transcribers, and the post-processing of waveforms. "
Bmr011.B,"and then this would give some more ground work for people who were building statistical models that allowed for overlapping changes , different timing changes as opposed to just "" click , no , it 's for that purpose i 'm just viewing meetings as being a neat way to get people talking naturally . and then you have i and then it 's natural in all senses , in the sense that you have microphones that are at a distance that one might have , and you have the close mikes , and you have people talking naturally . and the overlap is just indicative of the fact that people are talking naturally , think , if he 's thinking in terms of recognition technology he would probably want , american english , ",
Bmr011.C,"what i 'm doing right now is i 'm trying to include some information about which channel , there 's some speech in . i 'm just trying to do this by comparing energies , normalizing energies and comparing energies of the different channels . to give the transcribers some information in which channel there 's speech in addition to the thing we did now which is just , speech nonspeech detection on the mixed file . 'm relying on the segmentation of the mixed file but i 'm trying to subdivide the speech portions into different portions if there is some activity in different channels . ",
Bmr011.D,,
Bmr011.E,"that reminds me , i had a thought of an interesting project that somebody could try to do with the data from here , and that is to try to construct a map of where people were sitting , and you could plot out who was sitting next to who is there an interest in getting video recordings for these meetings ? there 's not enough interest to overcome all of but there could be problems , right ? with that . given all of the effort that is going on here in transcribing why do we have i b m doing it ? why not just do it all ourselves ? the problem is like , on the microphone of somebody who 's not talking they 're picking up signals from other people and that 's causing problems ? ",
Bmr011.F,,
Bmr011.G,"it 's the equipment and also how it 's worn . it 's really it makes a big difference from the transcribers ' point of view and , in terms of the multi trans , that 's being modified by dave gelbart to , handle multi channel recording . and , that 's that will enable us to do tight time marking of the beginning and ending of overlapping segments . at present it 's not possible with limitations of the , original design of the software . in terms of pre segmentation , that continues to be , a terrific asset to the transcribers . first of all , i 've got eight transcribers . seven of them are linguists . one of them is a graduate student in psychology . and , meetings , that they 're they go as long as a almost two hours in some cases . but the pre segmentation really helps a huge amount . and , also dan ellis 's innovation of the , the multi channel to here really helped a r a lot in terms of clearing up h hearings that involve overlaps . just out of curiosity i asked one of them how long it was taking her , one of these two who has already finished her data set . she said it takes about , sixty minutes transcription for every five minutes of real time . which is what we were thinking . it 's in the range . but it 's word level , speaker change , the things that were mentioned . now i wanted to mention the , teleconference i had with , jonathan fiscus . he , he in indicated to me that they 've that he 's been , but spending a lot of time with the atlas system . but it looks to me like that 's the name that has developed for the system that bird and liberman developed for the annotated graphs approach . and what we will do and is to provide them with the u already transcribed meeting for him to be able to experiment with in this atlas system . and that he wants to experiment with taking our data and putting them in that format , and see how that works out . now i also wanted to say in a different direction is , brian kingsbury . i told him he could ssh on and use multi trans , and have a look at the already done , transcription . and he did . and what he said was that , what they 'll be providing is will not be as fine grained in terms of the time information . he downloaded from the cd onto audio tapes . and he did it one channel per audio tape . each of these people is transcribing from one channel . except say that my transcribers use the mixed signal mostly unless there 's a huge disparity in terms of the volume on the mix . in which case , they wouldn't be able to catch anything except the prominent channel , then they 'll switch between . now wasn't that one of the proposals was that ibm was going to do an initial forced alignment , which is , jonathan fiscus expressed primar a major interest in having meetings which were all english speakers . ","The discussion was largely focused on efforts to facilitate transcriptions, including the improvement of strategies for transcribing overlapping speech, and achieving greater uniformity in the type of equipment used during recordings and the manner in which recording devices are worn by speakers. "
