meeting,original,extractive,abstractive
Bmr011.B,"at one point we had a proposal in with rutgers where we were gonna do some of the per channel signal processing and they were gonna do the multi channel but it d we ended up not doing it . but it 's r it 's really neat and then they had the little ones , our block of wood is unique . but the but the no , there are these commercial things now you can buy that have four mikes and ,  there 's there 's a range of things that people do . if we connected up with somebody who was interested in doing that thing that 's a good thing to do . whenever i 've described this to other people who are interested on the with the acoustic side that 's invariably the question they ask . just like someone who is interested in the general dialogue thing will always ask "" are you recording video ? "" right ? and the acoustic people will always say , "" are you doing , array microphones ? "" it 's a good thing to do , but it doesn't solve the problem of how do you solve things when there 's one mike or at best two mikes in this imagined pda that we have . we 'll do some more of it . if ninety nine percent of what you 're doing is c is shutting off most of the mikes , then going through the but if you get somebody who 's who has that as a primary interest then that put then that drives it in that direction . at some level at some level . but then , there 's it there 's there 's i don't they 're going to do and i don't know how big their array is . if you were gonna save all of those channels for later research you 'd use up a lot of space . and , th   but for optimum flexibility later you 'd want to save each channel . but in practical situations you would have some engine of some sort doing some processing to reduce this to some to the equivalent of a single microphone that was very directional . right ?  see the problem is it took , it took at least six months for dan to get together the hardware and the software , and debug in the microphones , and in the boxes . and it was a really big deal . and think we could get a microphone array in here pretty easily and , have it mixed to one channel of some sort . but , e for how we 're gonna decide for maximum flexibility later you really don't want to end up with just one channel that 's pointed in the direction of the p the person with the maximum energy like that . you want actually to have multiple channels being recorded that you can ","it 's a good thing to do , but it doesn't solve the problem of how do you solve things when there 's one mike or at best two mikes in this imagined pda that we have . we 'll do some more of it . and think we could get a microphone array in here pretty easily and , have it mixed to one channel of some sort . but , e for for maximum flexibility later you really don't want to end up with just one channel that 's pointed in the direction of the p the person with the maximum energy like that . you want actually to have multiple channels being recorded that you can ",
Bmr011.B,"and to do that , it we 're going to end up greatly increasing the disk space that we use up , we also only have boards that will take up to sixteen channels and in this meeting , we 've got eight people and six mikes . and there we 're already using fourteen . e   think you 'd need a separate set up and the assumption that you could time align the two . i 'm not much worried about disk space actually . i mentioned that , b as a practical matter , but the real issue is that , there is no way to do a recording extended to what we have now with low skew . you would have a t completely separate set up , which would mean that the sampling times and forth would be all over the place compared to this . it would depend on the level of pr processing you were doing later , but if you 're d i the person who 's doing array processing you actually care about funny little times . and you actually wou would want to have a completely different set up than we have , one that would go up to thirty two channels  or a hun  i 'm kinda skeptical , but think that i don't think we can share the resource in that way . but what we could do is if there was someone else who 's interested they could have a separate set up which they wouldn't be trying to synch with ours which might be useful for them . and then we can offer up the room , we can o offer the meetings , and the physical space , and the transcripts , and on .  thi the thing will be , u in again , in talking to these other people to see what what we can do . we 'll see . right , we have we it 's , people getting shy about it . there 's this human subjects problem . there 's the fact that then if i i 've heard comments about this before , "" why don't you just put on a video camera ? "" but it 's like saying , "" we 're primarily interested in some dialogue things , but , why don't we just throw a microphone out there . "" once you actually have serious interest in any of these things then you actually have to put a lot of effort in . and , you really want to do it right . think nist or ldc , or somebody like that is much better shape to do all that . we there will be other meeting recordings . we won't be the only place doing meeting recordings . we are doing what we 're doing . and , hopefully it 'll be useful .   we we don't , we don't perform electro shock during these meetings , and   transcriptions . ","i 'm not much worried about disk space actually . but the real issue is that , there is no way to do a recording extended to what we have now with low skew . but if you 're d i the person who 's doing array processing you actually care about funny little times . and you actually wou would want to have a completely different set up than we have , one that would go up to thirty two channels i 'm kinda skeptical , but what we could do is if there was someone else who 's interested they could have a separate set up which they wouldn't be trying to synch with ours which might be useful for them . we can o offer the meetings , and the physical space , and the transcripts , and on . there 's this human subjects problem . once you actually have serious interest in any of these things then you actually have to put a lot of effort in . think nist or ldc , or somebody like that is much better shape to do all that . ",
Bmr011.B,"if they hear something off in the distance they don't they just go are you ? but they 're not giving f really fine time markings . it 's historical .  some point ago we thought that it "" boy , we 'd really have to ramp up to do that "" , like we just did , and , here 's , a , collaborating institution that 's volunteered to do it . that was a contribution they could make . in terms of time , money , and it still might be a good thing but     we 'll see . th they they 've proceeded along a bit . let 's see what comes out of it , and , have some more discussions with them .   that they are ,  i 'm they will and we have to have a dialogue with them about it . it sounds like liz has some concerns and that 's great . the other thing , i can't remember if we discussed this in the meeting but , i know you and i talked about this a little bit , there was an issue of , suppose we get in the , it 's enviable position although it 's just saying where the weak link is in the chain , where we ,  we have all the data transcribed and we have these transcribers and we were we 're the we 're still a bit slow on feeding at that point we 've caught up and the , the weak link is recording meetings .   two questions come , is what how do we it 's not really a problem at the moment cuz we haven't reached that point but how do we step out the recorded meetings ? and the other one is , is there some good use that we can make of the transcribers to do other things ? i can't remember how much we talked about this in this meeting but there was right , think we talking about three level three things . one was we had s had some discussion in the past about some very high level labelings , types of overlaps , and forth that someone could do . second was , somewhat lower level just doing these more precise timings . and the third one is , just a completely wild hair brained idea that i have which is that , if , if we have time and people are able to do it , to take some subset of the data and do some very fine grained analysis of the speech . marking in some overlapping potentially overlapping fashion , the value of , ar articulatory features . just say , it 's voiced from here to here , there 's it 's nasal from here to here , and forth . as opposed to doing phonetic phonemic and the phonetic analysis , and , assuming , articulatory feature values for those things . that 's extremely time consuming .  but , ","some point ago we thought that it "" boy , we 'd really have to ramp up to do that "" , and , here 's , a , collaborating institution that 's volunteered to do it . that was a contribution they could make . in terms of time , money , that they are , and we have to have a dialogue with them about it . but how do we step out the recorded meetings ? and the other one is , is there some good use that we can make of the transcribers to do other things ? right , think we talking about three level three things . one was we had s had some discussion in the past about some very high level labelings , types of overlaps , and forth that someone could do . second was , somewhat lower level just doing these more precise timings . and the third one is , just a completely wild hair brained idea that i have which is that , if , if we have time and people are able to do it , to take some subset of the data and do some very fine grained analysis of the speech . marking in some overlapping potentially overlapping fashion , the value of , ar articulatory features . ","The Berkeley Meeting Recorder group discussed recording equipment and setup issues, recent developments in the transcription effort, other potential types of tagging to be assigned to transcribers, and the post-processing of waveforms. "
Bmr011.B,"we could do it on some small subset .   but also it 's just the issue that when you look at the u w u when you look at switchboard very close up there are places where whether it 's a consonant or a vowel you still have trouble calling it a particular phone at that point because it 's there 's this movement from here to here and it 's  describe it . now i 'm suggesting articulatory features . there 's even a better way to do it but it but that 's , traditional way of describing these things , and actually this might be a g neat thing to talk to  it 's still some categories but something that allows for overlapping change of these things and then this would give some more ground work for people who were building statistical models that allowed for overlapping changes , different timing changes as opposed to just "" click , you 're now in this state , which corresponds to this speech sound "" and on . something like that . actually if we get into that it might be good to , haul john ohala into this and ask his views on it no , it 's for that purpose i 'm just viewing meetings as being a neat way to get people talking naturally . and then you have i and then it 's natural in all senses , in the sense that you have microphones that are at a distance that one might have , and you have the close mikes , and you have people talking naturally . and the overlap is just indicative of the fact that people are talking naturally , right ? think that given that it 's that corpus , if it 's gonna be a very useful corpus if you say w we 've limited the use by some of our , censored choices , we don't have the video , we don't and forth , but there 's a lot of use that we could make of it by expanding the annotation choices . and , most of the things we 've talked about have been fairly high level , and being bottom up person we 'd , do some of the others .   and hopefully someone would make use of it . people didn't people have made a lot of use of timit and , due to its markings , and then the switchboard transcription thing , think has been very useful for a lot of people .    cuz they have something like three or four different meetings , right ?  yes . great .  he 's supposed to be trained to do it .  they 're open to it . all these things are there 's we should go beyond , icsi but , there 's a lot of happening at icsi that we 're not getting now that we could . it 's just the no , no . no . ","and then this would give some more ground work for people who were building statistical models that allowed for overlapping changes , different timing changes as opposed to just "" click , no , it 's for that purpose i 'm just viewing meetings as being a neat way to get people talking naturally . and then you have i and then it 's natural in all senses , in the sense that you have microphones that are at a distance that one might have , and you have the close mikes , and you have people talking naturally . and the overlap is just indicative of the fact that people are talking naturally , ",
Bmr011.B,"th there was the thing in fillmore 's group but even there he hadn't what he 'd said "" no "" to was for the main meeting . but they have several smaller meetings a week , and , the notion was raised before that could happen . and it just , it just didn't come together but  mean there 's possibilities there . jerry 's group , yes . there 's there 's , the networks group , i don't do they still meeting regularly or ? but ha have they said they don't want to anymore or ? i  they 're down to three or four people but three or four people is   with potential use from the defense department .  th there 's a problem there in terms of , the commercial value of st it turned out to be a bit of a problem .  of all nat all native speakers . why ? i don't i don't think if he didn't say that i bet he did . i remember wh i remember a study i remember a study that bbn did where they trained on this was in wall street journal days they trained on american english and then they tested on , different native speakers from different areas . and , the worst match was people whose native tongue was mandarin chinese . the second worst was british english . it 's , t the german was much better , it was swiss w it 's think , if he 's thinking in terms of recognition technology he would probably want , american english ,  it unless we 're gonna train with a whole bunch of      it 's pretty tough , this group . what about people who involved in some artistic endeavor ? film making like that . you 'd think like they would be i know you are .  put a little ad up saying , "" come here and argue "" . they could have a discussion about te about tax cuts now that is not actually what we but we don't want them to throw the far field mikes is the thing . anyway . i had as my fourth thing here processing of wave forms . what did we mean by that ? remember @ @ ?  you already did that . and dave gel gelbart again , he 's interested we 're look starting to look at some echo cancellation things . which  let 's w i isn't that what you want t no , no , i w wha what you want when you 're saying improving the wave form you want the close talking microphone to be better . right ? and the question is to w to what extent is it getting hurt by , by any room acoustics or is it just given that it 's close it 's not a problem ?  it 's  o k ,  tea has started out there i suggest we c run through our digits and ,   ","think , if he 's thinking in terms of recognition technology he would probably want , american english , ",
Bmr011.B,we 're done . ,,
Bmr011.C,"now , we 're working more on it but , it 's not finished .     what i 'm doing right now is i 'm trying to include some information about which channel , there 's some speech in . but that 's not working at the moment . i 'm just trying to do this by comparing energies , normalizing energies and comparing energies of the different channels . and to give the transcribers some information in which channel there 's speech in addition to the thing we did now which is just , speech nonspeech detection on the mixed file . 'm relying on the segmentation of the mixed file but i 'm trying to subdivide the speech portions into different portions if there is some activity in different channels . but               no , th no . they were not switching them but what they were adjusting them ,  and aft after a minute or it 's way better .    i 'm have some but that 's the one where we 're , trai training on , that 's a little bit it 's a little bit at odd to  four speakers ,       the all native . ooo , ooo . american english ? ooo , ooo .  dan ,    ","what i 'm doing right now is i 'm trying to include some information about which channel , there 's some speech in . i 'm just trying to do this by comparing energies , normalizing energies and comparing energies of the different channels . to give the transcribers some information in which channel there 's speech in addition to the thing we did now which is just , speech nonspeech detection on the mixed file . 'm relying on the segmentation of the mixed file but i 'm trying to subdivide the speech portions into different portions if there is some activity in different channels . ",
Bmr011.D," one , two u   we went  is i it 's not cor it 's correct ?         is fixed .     right .                      no , close talk .   no , just   talk      film maker . is    a film maker . yes . department .  computer sci    the fa    energy .  c may i only display the different colors for the different situation . but , for me and for my problems , is is enough . because , it 's possible , in a simp sample view , to , nnn , to compare with c with the segment , the assessment what happened with the different parameters . and only with a different bands of color for the , few situation , i consider for acoustic event is enough to @ @ . i see that , you are considering now , a very sophisticated , ehm , @ @ set of , graphic s ehm , si symbols to transcribe . no ? because , before , you are talking about the possibility to include in the transcriber program a set of symbols , of graphic symbol to t to mark the different situations during the transcription during the transcription . no ?  the s the symbols , you talk of before . no ? to mark      ",,
Bmr011.E,"is it on ? what meeting ? who 's coming ? wha what about , is there anything new with the speech , nonspeech  can we get these , wireless ? is it because you 're saying the for dialogue purposes , that means that the transcribers are having trouble with those mikes ? is that what or ? especially for people with big heads .  that would be that would be really neat . that reminds me , i had a thought of an interesting project that somebody could try to do with the data from here , either using , the mikes on the table or using signal energies from the head worn mikes , and that is to try to construct a map of where people were sitting , based on did he ? that 's interesting . and you could plot out who was sitting next to who and   was just thinking , as i was sitting here next to thilo that when he 's talking , my mike probably picks it up better than your guys 's mikes . if you just looked at looked at the energy on my mike and you could get an idea about who 's closest to who . and are they going to do video as  there 's no like portable array of mikes ?  i 've seen demonstrations of the microphone arrays . it 's amazing how they can cut out noise .  to save that data you have to have one channel recording per mike in the array ? is that what you save , if you 're going to do research with it .    i see . saving the result of the beam forming . is there an interest in getting video recordings for these meetings ?   there 's not enough interest to overcome all of  you were here at a meeting before .  usually . how big is the data set ?    is this the project that 's between , nist and , a couple of other places ? the  y right ,  the p the people the folks that they 're , subcontracting out the transcription to , are they like court reporters or   like medical transcriptionist type people but aren't they 're they 're hiring them , they 're coming . it 's not a service they send the tapes out to .   i gotcha . i see . i see .   each person gets one of these channels  but there could be problems , right ? with that . if you 're tran if you got that channel right there  that 's right . just out of curiosity , given all of the effort that is going on here in transcribing why do we have i b m doing it ? why not just do it all ourselves ?    i 'm just wondering now i 'm wondering now if it 's  you would need to like a forced alignment before you did the chopping , right ? why not do a forced alignment ? ","that reminds me , i had a thought of an interesting project that somebody could try to do with the data from here , and that is to try to construct a map of where people were sitting , and you could plot out who was sitting next to who is there an interest in getting video recordings for these meetings ? there 's not enough interest to overcome all of but there could be problems , right ? with that . given all of the effort that is going on here in transcribing why do we have i b m doing it ? why not just do it all ourselves ? ",
Bmr011.E,"that would be really valuable you 're saying r remove the high level constraints and go bottom up . then just say  acoustic features versus psychological categories .   just a source of data ? in terms of the topic topics ?  does john ohala have weekly phonetics lab meetings ? and the other thing too is when they originally said "" no "" they didn't know about this post editing capability thing .  did he mean , did he mean and non british ? he said british was knowing the application a any department that calls itself science the problem is like , on the microphone of somebody who 's not talking they 're picking up signals from other people and that 's causing problems ?  what about increasing the flexibility of the alignment ? do you remember that thing that michael finka did ? that experiment he did a while back ? that 's the problem , is the signal to noise ratio .  or even words inserted that weren't there .   ","the problem is like , on the microphone of somebody who 's not talking they 're picking up signals from other people and that 's causing problems ? ",
Bmr011.F,"hello .  i was i was here i was here before once .   did i ? i don't know .  can i verbally consent ?  i don't care . you can do whatever you want with it . that 's fine .  i don't think the more political argumentative ones would be willing to exactly . we can just discu we can just have a political discussion one day . i could make that pretty i know i i heard that at cal tech they have a special room someone said that they had a special room to get all your frustrations out that you can go to and like throw things and break things . we can like post a no , not to that extent but ,    ",,
Bmr011.G,"i c i could talk about the meeting .  you , already know about the meeting that 's coming up and i don't know if this is appropriate for this . i don't know . it 's something we should handle outside of the meeting .     i had thought under my topic that i would mention the , four items that i , put out for being on the agenda f on that meeting , which includes like the pre segmentation and the developments in multitrans . under the nist thing .   and that 's true . i we did discuss this . and a couple times , the transcribers notice and there 're some where , ugh there 's it 's the double thing . it 's the equipment and also how it 's worn . and he 's always they just rave about how wonderful adam 's channel is . and then ,  but it 's not just that , it 's also you it 's also like n no breathing , no it 's like it 's it 's really it makes a big difference from the transcribers ' point of view and also from the research s point of view .  and there was some talk about , the h headphones that are uncomfortable for people , to  good .   jonathan fiscus is coming on the second of february and i 've spoken with , u a lot of people here , not everyone . and , he expressed an interest in seeing the room and in , seeing a demonstration of the modified multitrans , which i 'll mention in a second , and also , he was interested in the pre segmentation and then he 's also interested in the transcription conventions . and , it seems to me in terms of like , i it wou  the room , it 's things like the audio and c and audi audio and acoustic properties of the room and how it how the recordings are done , and that thing . and , in terms of the multi trans , that 's being modified by dave gelbart to , handle multi channel recording .   that 's we 'll and it 's t and it looks really great . he has a prototype . i , @ @ didn't see it , yesterday but i 'm going to see it today . and , that 's that will enable us to do tight time marking of the beginning and ending of overlapping segments . at present it 's not possible with limitations of the , original design of the software . and i don't know . in terms of pre segmentation , that continues to be , a terrific asset to the transcribers . do you i know that you 're al also supplementing it further . do you want to mention something about that c thilo , or ?  this is good . excellent , this 'd be like w e providing also speaker id potentially . ","it 's the equipment and also how it 's worn . it 's really it makes a big difference from the transcribers ' point of view and , in terms of the multi trans , that 's being modified by dave gelbart to , handle multi channel recording . and , that 's that will enable us to do tight time marking of the beginning and ending of overlapping segments . at present it 's not possible with limitations of the , original design of the software . in terms of pre segmentation , that continues to be , a terrific asset to the transcribers . ","The discussion was largely focused on efforts to facilitate transcriptions, including the improvement of strategies for transcribing overlapping speech, and achieving greater uniformity in the type of equipment used during recordings and the manner in which recording devices are worn by speakers. "
Bmr011.G,"wonderful . wonderful .  can i ask one thing ?  jonathan fiscus expressed an interest in , microphone arrays . is there and i also want to say , his he can't stay all day . he needs to leave for from here to make a two forty five flight from oakland . it makes the scheduling a little bit tight but do you think that , that , i john canny should be involved in this somehow or not . i have no idea . it 's premature . fine . good .  one thing i don't know . i know that having an array of i would imagine it would be more expensive to have a an array of microphones . but couldn't you approximate the natural sis situation by just shutting off channels when you 're later on ? it seems like if the microphones don't effect each other then couldn't you just , record them with an array and then just not use all the data ? i see . fine .  w although i m i have to u mention the human subjects problems , that i increase with video .   i it occurred to me , has don signed a human subject 's form ? a permission form ? you were here at a meeting before . did you sign a form ?   you don't have to leave for it . but  o transcriptions , about there are three aspects of this . first of all , i 've got eight transcribers . seven of them are linguists . one of them is a graduate student in psychology . each i gave each of them , their own data set . two of them have already finished the data sets . and the meetings run , let 's say an hour . sometimes as man much as an hour and a half . it 's what is one meeting . each person got their own meeting . i didn't want to have any conflicts of , of when to stop transcribing this one or wanted to keep it clear whose data were whose , and and , meetings , that they 're they go as long as a almost two hours in some cases . that means if we 've got two already finished and they 're working on right now all eight of them have differe additional data sets . that means potentially as many as ten might be finished by the end of the month . hope but the pre segmentation really helps a huge amount . and , also dan ellis 's innovation of the , the multi channel to here really helped a r a lot in terms of clearing up h hearings that involve overlaps . but , just out of curiosity i asked one of them how long it was taking her , one of these two who has already finished her data set . ","first of all , i 've got eight transcribers . seven of them are linguists . one of them is a graduate student in psychology . and , meetings , that they 're they go as long as a almost two hours in some cases . but the pre segmentation really helps a huge amount . and , also dan ellis 's innovation of the , the multi channel to here really helped a r a lot in terms of clearing up h hearings that involve overlaps . just out of curiosity i asked one of them how long it was taking her , one of these two who has already finished her data set . ","The discussion was largely focused on efforts to facilitate transcriptions, including the improvement of strategies for transcribing overlapping speech, and achieving greater uniformity in the type of equipment used during recordings and the manner in which recording devices are worn by speakers. "
Bmr011.G,"she said it takes about , sixty minutes transcription for every five minutes of real time . it 's about twelve to one , which is what we were thinking . it 's in the range . these still , when they 're finished , that means that they 're finished with their pass through . they still need to be edited and all but it 's word level , speaker change , the things that were mentioned . now i wanted to mention the , teleconference i had with , jonathan fiscus . we spoke for an hour and a half and , had an awful lot of things in common . he , he in indicated to me that they 've that he 's been , looking , spending a lot of time with i 'm not quite the connection , but spending a lot of time with the atlas system . and that i need to read up on that . and there 's a web site that has lots of papers . but it looks to me like that 's the name that has developed for the system that bird and liberman developed for the annotated graphs approach . what he wants me to do and what we will do and is to provide them with the u already transcribed meeting for him to be able to experiment with in this atlas system . and they do have some software , at least that 's my impression , related to atlas and that he wants to experiment with taking our data and putting them in that format , and see how that works out . i explained to him in detail the , conventions that we 're using here in this word level transcript . and , i explained , the reasons that we were not coding more elaborately and the focus on reliability . he expressed a lot of interest in reliability . it 's like he 's really up on these things . he 's very independently he asked , "" what about reliability ? "" he 's interested in the consistency of the encoding and that thing .  at this point adam 's read more in more detail than i have on this . i need to acquaint myself more with it . but , there is a way of viewing whenever you have coding categories , and you 're dealing with a taxonomy , then you can have branches that have alternative , choices that you could use for each of them . and it just ends up looking like a graphical representation .   including ldc .  then there 's their web site that has lots of papers . and i looked through them and they mainly had to do with this , this , tree structure , annotated tree diagram thing . and , in terms of like the conventions that i 'm a that i 've adopted , it there 's no conflict and he was , very interested . ","she said it takes about , sixty minutes transcription for every five minutes of real time . which is what we were thinking . it 's in the range . but it 's word level , speaker change , the things that were mentioned . now i wanted to mention the , teleconference i had with , jonathan fiscus . he , he in indicated to me that they 've that he 's been , but spending a lot of time with the atlas system . but it looks to me like that 's the name that has developed for the system that bird and liberman developed for the annotated graphs approach . and what we will do and is to provide them with the u already transcribed meeting for him to be able to experiment with in this atlas system . and that he wants to experiment with taking our data and putting them in that format , and see how that works out . ",
Bmr011.G,"and , "" and how 'd you handle this ? "" and i said , "" this way "" and we had a really conversation . now i also wanted to say in a different direction is , brian kingsbury . i corresponded briefly with him . i , c i he still has an account here . i told him he could ssh on and use multi trans , and have a look at the already done , transcription . and he did . and what he said was that , what they 'll be providing is will not be as fine grained in terms of the time information . and , that 's , i need to get back to him and , explore that a little bit more and see what they 'll be giving us in specific , but haven't had time yet . what ? yes . get the sense they 're like that . like it 's like a pool of somewhat secretarial i don't think that they 're court reporters . i don't think they have the special keyboards and that type of training . i get the sense they 're more secretarial . and that , what they 're doing is giving them   up to now it 's been monologues , as far my understood . and what they 're doing is brian himself downloaded adam sent them a cd and brian himself downloaded cuz , we wanted to have it that they were in familiar f terms with what they wanted to do . he downloaded from the cd onto audio tapes . and he did it one channel per audio tape . each of these people is transcribing from one channel . and then what he 's going to do is check it , a before they go be beyond the first one . check it and , adjust it , and all that . i don't know . i have t i , it would be difficult to do it that way . i really d in my case yes . th i would think that it would be hard to come out with i agree . and especially since a lot of these we have . except say that my transcribers use the mixed signal mostly unless there 's a huge disparity in terms of the volume on the mix . in which case , they wouldn't be able to catch anything except the prominent channel , then they 'll switch between . but really   i have to ask him . and that 's my email to him . that needs to be forthcoming . but the , did want to say that it 's hard to follow one channel of a conversation even if the people , and if you 're dealing furthermore with highly abstract network concepts you 've never heard of one of these people was transcribing the , networks group talk and she said , "" i don't really lot of these abbreviations are , "" ","now i also wanted to say in a different direction is , brian kingsbury . i told him he could ssh on and use multi trans , and have a look at the already done , transcription . and he did . and what he said was that , what they 'll be providing is will not be as fine grained in terms of the time information . he downloaded from the cd onto audio tapes . and he did it one channel per audio tape . each of these people is transcribing from one channel . except say that my transcribers use the mixed signal mostly unless there 's a huge disparity in terms of the volume on the mix . in which case , they wouldn't be able to catch anything except the prominent channel , then they 'll switch between . ",
Bmr011.G,""" but put them in parentheses cuz that 's the convention and cuz if you don't know   it 's very a real benefit having brian involved because of his knowledge of what the how the data need to be used and what 's useful to have in the format .  good . good . now wasn't that one of the proposals was that ibm was going to do an initial forced alignment , after they  i need to write to him . it 's like i got over taxed with the timing .  a good size . good . i was thinking it would be fun to if you wouldn't mind , to give us a pre segmentation . you have one already of that first m of the meeting that the first transcribed meeting , the one that i transcribed . do you have a could you generate a pre segmentation ? i see . darn .     excellent , good .  liz and i spoke d w at some length on tuesday and i was planning to do just a preliminary look over of the two that are finished and then give them to you .  and there is one use that also we discussed which was when , dave finishes the and it 's already finished the modification to multi trans which will allow fine grained encoding of overlaps . then it would be very these people would be very good to shift over to finer grain encoding of overlaps . it 's just a matter of , providing if right now you have two overlapping segments in the same time bin , with the improvement in the database in the , in the interface , it 'd be possible to , just do a click and drag thing , and get the the specific place of each of those , the time tag associated with the beginning and end of each segment .  the types of overlaps   also if you 're dealing with consonants that would be easier than vowels , wouldn't it ? i would think that , being able to code that there 's a fricative extending from here to here would be a lot easier than classifying precisely which vowel that was . vowels are harder .   i 'm i know . that 's  excellent . it 's a balance . that would be really to offer those things with that wide range . really    good .   also it does seem like it takes us way out of the demographic . it seems like we had this idea before of having like linguistics students brought down for free lunches and that 's a idea .    that 's right . some of that can be li done lexically . and i also they are doing disfluency tagging to some degree already .   they 'd be really good . they 're very they 're very consistent . i wanted to whi while we 're to return just briefly to this question of more meeting data , ","now wasn't that one of the proposals was that ibm was going to do an initial forced alignment , ",
Bmr011.G,"have two questions . one of them is , jerry feldman 's group , they , are they i know that they recorded one meeting . are they willing ?   that 's important . joe sokol ? we might be able to get the administration i see that lila has a luncheon meeting in here periodically . i don't know   there is this problem though , that if we give them the chance to excise later we e might end up with like five minutes out of a f of m one hour of yes . really . there was this k p f a but    and i had one other aspect of this which is , jonathan fiscus expressed primar a major interest in having meetings which were all english speakers . now he wasn't trying to shape us in terms of what we gather but that 's what he wanted me to show him . 'm giving him our , our initial meeting because he asked for all english . and we don't have a lot of all english meetings right now . that 's what he doesn't care . no . british is but  different varieties of english . native speaking . native speaking english . yes . really . that 's funny . alright . and that would make sense . i didn't have the context of that . all america , that the feldman 's meetings tend to be more that way , aren't they ? i feel like they have it 's be fun . we could get julia child . i know . it 'd be fun to get like a p visit from the  pre processing . this does like seem like it would relate to some of what jose 's been working on as the encoding of the and he also , he was i was t i was trying to remember , you have this interface where you i you ha you showed us one time on your laptop that you had different visual displays as speech and nonspeech events .  i w you 're saying symbols for differences between laugh , and sigh , and slam the door and or some other thing ? i wouldn't say symbols much . the main change that i see in the interface is just that we 'll be able to more finely c time things . but i also st there was another aspect of your work that i was thinking about when i was talking to you which is that it sounded to me , liz , as though you and , didn't q understand this , but it sounded to me as though part of the analysis that you 're doing involves taking segments which are of a particular type and putting them together . and th if you have like a p a s speech from one speaker , then you cut out the part that 's not that speaker , ","which is , jonathan fiscus expressed primar a major interest in having meetings which were all english speakers . ",
Bmr011.G,and you combine segments from that same speaker to and run them through the recognizer . is that right ?    cuz i    ,,
Bmr011.H,"does everyone has everyone met don ?   dome it sounds like a topic of conversation . right .  right , actually the way jose is wearing his is c correct . the good way . you want to th that 's good . it 's towards the corner of your mouth that breath sounds don't get on it . and then just about , a thumb or a thumb and a half away from your mouth . and this one isn't very adjustable , this about as good as get cuz it 's a fixed boom .  the onl the only problem with that is right now , some of the jimlets aren't working . the little the boxes under the table . and w i 've only been able to find three jacks that are working .  i 'm not 'm follow . say that again ? just two .  right . right . sounds like uniformity wins .    couple times . what can i say . really ? i 'm not surprised . "" baaah ! "" it 's an advantage when you don't breath . that the point of doing the close talking mike is to get a good quality signal . we 're not doing research on close talking mikes . we might as get it as uniform as we can .  think just do a field trip at some point .   as i said , we 'll do a field trip and see if we can get all of the same mike that 's more comfortable than these things , which are horrible .  and , we 're researchers , we all have big heads .  i should 've i was just thinking i should have invited him to this meeting . i forgot to do it .   hcc . he 's doing array mikes . that would be neat . dan had worked on that . dan ellis ,  that 's the cross correlation was doing b beam forming . no , he did start on it .  that 's another cl cue , that 's true . or who talks the loudest .  just morning . is he involved in ach ! i 'm blanking on the name of the project . nist has done a big meeting room instrumented meeting room with video and microphone arrays , and very elaborate software . is he the one working on that ?   i had read some papers that looked like they had already done some work .  cuz what i had read was , they had a very large amount of software infrastructure for coordinating all this , both in terms of recording and also live room where you 're interacting the participants are interacting with the computer , and with the video , and lots of other   alright . xerox . and then they have little ones too but but they don't have our block of wood , right ? ","it 's towards the corner of your mouth that breath sounds don't get on it . and then just about , a thumb or a thumb and a half away from your mouth . that the point of doing the close talking mike is to get a good quality signal . we 're not doing research on close talking mikes . we might as get it as uniform as we can . as i said , we 'll do a field trip and see if we can get all of the same mike that 's more comfortable than these things , which are horrible . dan had worked on that . dan ellis , that 's the cross correlation was doing b beam forming . nist has done a big meeting room instrumented meeting room with video and microphone arrays , and very elaborate software . ","The discussion was largely focused on efforts to facilitate transcriptions, including the improvement of strategies for transcribing overlapping speech, and achieving greater uniformity in the type of equipment used during recordings and the manner in which recording devices are worn by speakers. "
